,SongID,duration,popularity,year,duration_sec
444,Behind BarzDrake,163120.0,79.0,2019,163.12
445,HotYoung Thug Featuring Gunna,279906.0,87.0,2019,279.906
446,Out The MudLil Baby Featuring Future,157816.0,72.0,2019,157.816
447,I Think He KnowsTaylor Swift,173386.0,75.0,2019,173.386
448,RobberyJuice WRLD,240050.0,89.0,2019,240.05
450,Dreams Money Can BuyDrake,253803.0,62.0,2019,253.803
451,Show Me LoveAlicia Keys Featuring Miguel,194997.0,68.0,2019,194.997
452,Every Little ThingRussell Dickerson,190640.0,75.0,2019,190.64
453,Remember You YoungThomas Rhett,180466.0,74.0,2019,180.466
454,DeathTrippie Redd Featuring DaBaby,172195.0,83.0,2019,172.195
455,"1, 2 ManyLuke Combs & Brooks & Dunn",180906.0,73.0,2019,180.906
456,EcstasyYoung Thug Featuring Machine Gun Kelly,178240.0,63.0,2019,178.24
457,Envy MeCalboy,120133.0,78.0,2018,120.133
459,Old Town RoadLil Nas X Featuring Billy Ray Cyrus,157066.0,91.0,2019,157.066
461,The TakeTory Lanez Featuring Chris Brown,221492.0,75.0,2019,221.492
462,On GodKanye West,136350.0,77.0,2019,136.35
463,ReplyA Boogie Wit da Hoodie Featuring Lil Uzi Vert,183588.0,80.0,2019,183.588
464,Tip ToeRoddy Ricch Featuring A Boogie Wit da Hoodie,185806.0,81.0,2019,185.806
465,ThrillerMichael Jackson,358053.0,69.0,1984,358.053
467,ShotsLil Tecca,109373.0,77.0,2019,109.373
468,Leave Me AloneNF,308651.0,75.0,2019,308.651
469,VeteBad Bunny,192024.0,94.0,2019,192.024
470,Cruel SummerTaylor Swift,178426.0,79.0,2019,178.426
471,Come ThruSummer Walker & Usher,181013.0,80.0,2019,181.013
472,I'm Gonna BePost Malone,200680.0,79.0,2019,200.68
473,CherryHarry Styles,259186.0,84.0,2019,259.186
474,SuckerJonas Brothers,181026.0,87.0,2019,181.026
475,SugeDaBaby,163320.0,87.0,2019,163.32
477,Playing GamesSummer Walker,143226.0,81.0,2019,143.226
478,CoolJonas Brothers,167106.0,76.0,2019,167.106
480,MemoriesMaroon 5,189486.0,98.0,2019,189.486
481,ApplauseLady Gaga,212333.0,71.0,2013,212.333
482,Story Of My LifeOne Direction,245493.0,81.0,2013,245.493
483,"Bang BangJessie J, Ariana Grande & Nicki Minaj",199386.0,79.0,2014,199.386
484,Summer SixteenDrake,202450.0,60.0,2016,202.45
485,Castle On The HillEd Sheeran,261153.0,80.0,2017,261.153
486,ATMJ. Cole,216726.0,71.0,2018,216.726
487,All By MyselfCeline Dion,312306.0,67.0,1997,312.306
488,Barbie GirlAqua,197773.0,63.0,1997,197.773
489,"Sorry, Blame It On MeAkon",295720.0,59.0,2007,295.72
490,Strange CloudsB.o.B Featuring Lil Wayne,226293.0,61.0,2011,226.293
491,Begin AgainTaylor Swift,237613.0,57.0,2012,237.613
